textid	predicted	wordpos
56ddde6b9a695914005b9628	['in']	[34]
56ddde6b9a695914005b9629	['the']	[21]
56ddde6b9a695914005b962a	['Denmark', ',', 'Iceland']	[56, 57, 58]
56ddde6b9a695914005b962b	['leader']	[65]
56ddde6b9a695914005b962c	['the']	[127]
5ad39d53604f3c001a3fe8d1	[]	[]
5ad39d53604f3c001a3fe8d2	['The']	[1]
5ad39d53604f3c001a3fe8d3	[]	[]
5ad39d53604f3c001a3fe8d4	[]	[]
56dddf4066d3e219004dad5f	[',']	[176]
56dddf4066d3e219004dad60	[]	[]
56dddf4066d3e219004dad61	[]	[]
5ad3a266604f3c001a3fea27	[',', 'cultural', 'and']	[8, 9, 10]
5ad3a266604f3c001a3fea28	[]	[]
5ad3a266604f3c001a3fea29	[]	[]
5ad3a266604f3c001a3fea2a	[]	[]
5ad3a266604f3c001a3fea2b	[]	[]
56dde0379a695914005b9636	[]	[]
56dde0379a695914005b9637	[',', '9th']	[57, 58]
5ad3ab70604f3c001a3feb89	[]	[]
5ad3ab70604f3c001a3feb8a	[]	[]
56dde0ba66d3e219004dad75	['in']	[42]
56dde0ba66d3e219004dad76	[]	[]
56dde0ba66d3e219004dad77	[]	[]
5ad3ad61604f3c001a3fec0d	['the', '10th']	[5, 6]
5ad3ad61604f3c001a3fec0e	[]	[]
5ad3ad61604f3c001a3fec0f	[]	[]
5ad3ad61604f3c001a3fec10	[]	[]
56dde1d966d3e219004dad8d	[]	[]
5ad3ae14604f3c001a3fec39	[]	[]
5ad3ae14604f3c001a3fec3a	[]	[]
56dde27d9a695914005b9651	[]	[]
56dde27d9a695914005b9652	[]	[]
5ad3af11604f3c001a3fec63	[]	[]
5ad3af11604f3c001a3fec64	[]	[]
5ad3af11604f3c001a3fec65	[]	[]
56dde2fa66d3e219004dad9b	[]	[]
5ad3c626604f3c001a3ff011	[]	[]
5ad3c626604f3c001a3ff012	[]	[]
5ad3c626604f3c001a3ff013	[]	[]
56de0f6a4396321400ee257f	[]	[]
5ad3dbc6604f3c001a3ff3e9	[]	[]
5ad3dbc6604f3c001a3ff3ea	[]	[]
5ad3dbc6604f3c001a3ff3eb	[]	[]
5ad3dbc6604f3c001a3ff3ec	[]	[]
56de0ffd4396321400ee258d	['the']	[16]
56de0ffd4396321400ee258e	['the']	[56]
56de0ffd4396321400ee258f	[]	[]
5ad3de8b604f3c001a3ff467	['was']	[13]
5ad3de8b604f3c001a3ff468	['the']	[16]
5ad3de8b604f3c001a3ff469	[]	[]
5ad3de8b604f3c001a3ff46a	['the']	[56]
56de10b44396321400ee2593	['"[\':']	[107]
56de10b44396321400ee2594	[]	[]
56de10b44396321400ee2595	[]	[]
5ad3e96b604f3c001a3ff689	[]	[]
5ad3e96b604f3c001a3ff68a	[]	[]
5ad3e96b604f3c001a3ff68b	[]	[]
5ad3e96b604f3c001a3ff68c	['in']	[61]
56de11154396321400ee25aa	[]	[]
5ad3ea79604f3c001a3ff6e9	[]	[]
5ad3ea79604f3c001a3ff6ea	[]	[]
5ad3ea79604f3c001a3ff6eb	[]	[]
56de148dcffd8e1900b4b5bc	['TEXT', 'Robert']	[0, 1]
56de148dcffd8e1900b4b5bd	[]	[]
56de148dcffd8e1900b4b5be	['of', '30', ',']	[86, 87, 88]
5ad3ed26604f3c001a3ff799	[]	[]
5ad3ed26604f3c001a3ff79a	[]	[]
5ad3ed26604f3c001a3ff79b	[]	[]
5ad3ed26604f3c001a3ff79c	['of', '30', ',']	[86, 87, 88]
56de15104396321400ee25b7	['the', 'of']	[137, 139]
56de15104396321400ee25b8	['of']	[17]
56de15104396321400ee25b9	[]	[]
5ad3ee2d604f3c001a3ff7e1	[]	[]
5ad3ee2d604f3c001a3ff7e2	[]	[]
5ad3ee2d604f3c001a3ff7e3	[]	[]
56de1563cffd8e1900b4b5c2	[]	[]
56de1563cffd8e1900b4b5c3	[]	[]
56de1563cffd8e1900b4b5c4	[]	[]
5ad3f028604f3c001a3ff823	[]	[]
5ad3f028604f3c001a3ff824	['invaded']	[26]
5ad3f028604f3c001a3ff825	[]	[]
56de15dbcffd8e1900b4b5c8	[]	[]
56de15dbcffd8e1900b4b5c9	[]	[]
56de15dbcffd8e1900b4b5ca	[]	[]
56de15dbcffd8e1900b4b5cb	[]	[]
5ad3f187604f3c001a3ff86f	[]	[]
5ad3f187604f3c001a3ff870	[]	[]
5ad3f187604f3c001a3ff871	[]	[]
56de1645cffd8e1900b4b5d0	['brother']	[23]
56de1645cffd8e1900b4b5d1	['in']	[13]
56de1645cffd8e1900b4b5d2	['appointed', 'Robert', 'of']	[74, 75, 76]
5ad3f350604f3c001a3ff8ef	['in']	[13]
5ad3f350604f3c001a3ff8f0	['an']	[49]
5ad3f350604f3c001a3ff8f1	[]	[]
56de16ca4396321400ee25c5	['the', 'Battle', 'of']	[16, 17, 18]
